"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/17/2018","AQS","340230011","1","26","ppb","25","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/18/2018","AQS","340230011","1","20","ppb","19","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/19/2018","AQS","340230011","1","12","ppb","11","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/20/2018","AQS","340230011","1","9","ppb","8","Rutgers University","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/21/2018","AQS","340230011","1","8","ppb","8","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/22/2018","AQS","340230011","1","23","ppb","22","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/23/2018","AQS","340230011","1","11","ppb","10","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/24/2018","AQS","340230011","1","13","ppb","12","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/25/2018","AQS","340230011","1","9","ppb","8","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/26/2018","AQS","340230011","1","7","ppb","7","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/27/2018","AQS","340230011","1","6","ppb","6","Rutgers University","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/28/2018","AQS","340230011","1","6","ppb","6","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
"05/29/2018","AQS","340230011","1","9","ppb","8","Rutgers University","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.4622200009317","-74.429458"
