Date,Source,Site ID,POC,val,UNITS,DAILY_AQI_VALUE,Site_Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2018-01-25,AQS,340030010,1,0.3,ppm,3,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-26,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-27,AQS,340030010,1,1.8,ppm,20,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-28,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-29,AQS,340030010,1,0.6,ppm,7,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-30,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-01-31,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-01,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-02,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-03,AQS,340030010,1,0.2,ppm,2,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-04,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-05,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-06,AQS,340030010,1,0.7,ppm,8,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-07,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-08,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-09,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-10,AQS,340030010,1,1,ppm,11,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-11,AQS,340030010,1,1.1,ppm,13,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-12,AQS,340030010,1,0.9,ppm,10,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-13,AQS,340030010,1,0.3,ppm,3,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-14,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-15,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-16,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-17,AQS,340030010,1,0.3,ppm,3,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-18,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-19,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-20,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-21,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-22,AQS,340030010,1,0.3,ppm,3,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-23,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-24,AQS,340030010,1,0.5,ppm,6,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
2018-02-25,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,CO,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,003,Bergen,40.8535380009336,-73.966177
