Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/24/2018,AQS,340010006,1,3,ug/m3 LC,13,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
3/27/2018,AQS,340010006,1,4.2,ug/m3 LC,18,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
3/30/2018,AQS,340010006,1,6.5,ug/m3 LC,27,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/2/2018,AQS,340010006,1,3.9,ug/m3 LC,16,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/5/2018,AQS,340010006,1,3.1,ug/m3 LC,13,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/8/2018,AQS,340010006,1,4.4,ug/m3 LC,18,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/11/2018,AQS,340010006,1,4.9,ug/m3 LC,20,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/14/2018,AQS,340010006,1,9.7,ug/m3 LC,40,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/17/2018,AQS,340010006,1,2.1,ug/m3 LC,9,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/20/2018,AQS,340010006,1,3,ug/m3 LC,13,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/23/2018,AQS,340010006,1,5.1,ug/m3 LC,21,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/26/2018,AQS,340010006,1,3.6,ug/m3 LC,15,Brigantine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
4/29/2018,AQS,340010006,1,4.8,ug/m3 LC,20,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/2/2018,AQS,340010006,1,10.4,ug/m3 LC,43,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/5/2018,AQS,340010006,1,5.8,ug/m3 LC,24,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/8/2018,AQS,340010006,1,4.9,ug/m3 LC,20,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/11/2018,AQS,340010006,1,8.3,ug/m3 LC,35,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/14/2018,AQS,340010006,1,6.1,ug/m3 LC,25,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/17/2018,AQS,340010006,1,2.7,ug/m3 LC,11,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/20/2018,AQS,340010006,1,8.4,ug/m3 LC,35,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/23/2018,AQS,340010006,1,8,ug/m3 LC,33,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
5/29/2018,AQS,340010006,1,5,ug/m3 LC,21,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
6/1/2018,AQS,340010006,1,7.9,ug/m3 LC,33,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
6/4/2018,AQS,340010006,1,4.4,ug/m3 LC,18,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
6/7/2018,AQS,340010006,1,3.4,ug/m3 LC,14,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
6/13/2018,AQS,340010006,1,5.8,ug/m3 LC,24,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
6/16/2018,AQS,340010006,1,6.1,ug/m3 LC,25,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
6/19/2018,AQS,340010006,1,10.1,ug/m3 LC,42,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
